Cliente_ID,Edad,Genero,Saldo,Activo,Nivel_de_Satisfaccion
1,24,Femenino,72699.44,1,4
2,52,Femenino,15084.72,1,2
3,44,Femenino,44786.12,0,5
4,27,Femenino,94585.26,0,2
5,56,Masculino,81708.46,0,5
6,56,Masculino,71631.92,0,3
7,51,Femenino,72153.11,1,3
8,50,Masculino,26272.54,0,2
9,71,Femenino,97448.72,1,3
10,75,Femenino,27869.11,0,4
11,31,Masculino,1706.24,1,1
12,48,Masculino,50951.305,1,2
13,42,Masculino,88074.14,1,1
14,48,Masculino,31728.58,1,2
15,40,Masculino,15484.29,0,5
16,77,Femenino,71185.73,1,4
17,79,Femenino,92471.14,1,3
18,77,Masculino,99907.54,1,4
19,28,Femenino,50951.305,0,2
20,73,Masculino,74288.86,1,4
21,25,Femenino,88998.29,0,2
22,48,Masculino,55490.97,0,2
23,54,Masculino,84468.13,0,3
24,48,Femenino,6974.15,0,5
25,34,Femenino,82431.69,1,3
26,21,Masculino,15686.61,0,5
27,20,Masculino,98057.89,0,4
28,42,Femenino,44454.65,0,4
29,35,Masculino,32649.18,1,3
30,26,Femenino,86693.34,1,2
31,72,Masculino,93618.71,1,5
32,32,Femenino,92280.0,0,2
33,62,Masculino,50951.305,1,1
34,23,Femenino,52574.57,0,4
35,34,Masculino,58986.58,1,1
36,61,Femenino,98989.9,1,3
37,50,Femenino,19013.48,1,3
38,59,Femenino,17205.29,0,3
39,48,Femenino,40417.18,1,5
40,48,Femenino,9479.72,0,2
41,48,Masculino,66987.21,1,3
42,48,Masculino,28033.56,0,3
43,73,Masculino,8984.92,0,1
44,48,Masculino,49370.33,0,4
45,61,Femenino,57953.87,1,3
46,32,Masculino,23965.39,0,2
47,38,Femenino,48297.29,1,1
48,73,Femenino,30303.55,1,2
49,48,Masculino,17491.49,0,4
50,66,Femenino,43284.87,0,3
51,54,Masculino,48539.04,0,2
52,76,Femenino,14261.97,1,2
53,20,Masculino,14704.13,0,4
54,35,Femenino,20926.58,1,5
55,18,Masculino,88246.47,0,3
56,57,Masculino,50219.09,0,1
57,58,Masculino,40346.62,0,4
58,48,Femenino,73337.36,1,1
59,72,Femenino,59079.67,1,2
60,35,Masculino,26268.94,1,5
61,46,Masculino,65800.76,1,1
62,74,Masculino,90968.89,1,3
63,51,Femenino,86439.98,1,1
64,49,Masculino,67514.2,0,3
65,38,Femenino,86882.59,0,3
66,73,Masculino,20792.41,1,5
67,48,Femenino,30658.52,0,3
68,79,Femenino,97218.83,0,1
69,65,Masculino,54089.79,0,2
70,48,Femenino,7616.27,0,3
71,67,Masculino,1256.86,0,5
72,60,Masculino,66551.89,1,4
73,30,Femenino,73109.73,0,1
74,41,Femenino,50951.305,1,5
75,48,Masculino,50951.305,0,3
76,45,Femenino,83659.53,0,3
77,18,Masculino,32666.21,0,1
78,72,Masculino,28529.04,0,2
79,26,Femenino,8642.47,1,2
80,71,Femenino,50951.305,1,1
81,71,Femenino,99110.56,0,5
82,48,Femenino,93511.45,0,1
83,56,Femenino,13803.59,0,3
84,19,Masculino,94556.81,0,2
85,40,Masculino,67250.08,0,5
86,22,Masculino,64784.44,0,3
87,76,Masculino,30911.74,1,3
88,75,Masculino,93387.14,0,1
89,72,Masculino,50951.305,1,4
90,48,Femenino,12235.55,1,2
91,48,Masculino,30929.62,0,4
92,48,Femenino,91121.79,1,5
93,61,Masculino,62433.75,1,3
94,74,Masculino,40249.59,0,3
95,40,Femenino,79816.68,1,2
96,55,Femenino,99241.93,0,5
97,50,Masculino,70650.55,0,3
98,72,Femenino,51392.31,1,3
99,19,Masculino,50951.305,0,3
100,61,Femenino,12489.27,0,3
101,27,Masculino,5960.44,0,2
102,79,Masculino,77718.6,0,1
103,52,Femenino,95459.63,1,2
104,70,Masculino,27154.59,0,1
105,60,Femenino,86617.11,0,3
106,66,Masculino,69090.83,0,1
107,40,Femenino,69807.03,0,4
108,57,Femenino,80299.73,0,4
109,48,Femenino,26756.71,0,3
110,33,Masculino,7473.87,1,4
111,25,Masculino,97077.8,0,5
112,31,Masculino,35106.08,1,2
113,51,Masculino,97419.71,1,1
114,58,Femenino,21473.47,1,2
115,69,Masculino,69460.07,0,5
116,67,Masculino,36598.51,1,2
117,74,Femenino,49708.42,0,1
118,48,Masculino,94023.88,0,1
119,79,Masculino,23006.2,1,1
120,40,Femenino,99672.39,1,3
121,19,Femenino,57432.09,0,3
122,25,Masculino,50951.305,1,5
123,58,Masculino,96191.64,0,3
124,40,Masculino,95866.53,0,4
125,19,Masculino,71464.51,1,5
